# Struck veins: work that has already been tried, sized, or measured and found not
# worth doing. Consult this BEFORE starting a lane -- `check_struck.py <target>`.
#
# Why this file exists: the `bunfig` preload change was implemented and reverted
# TWICE, costing the same 5 bun files both times, because the first retirement was
# recorded only as prose in RESUME.md -- which is now ~2300 lines and no lane reads
# end to end. A retired vein is only useful if the next lane trips over it.
#
# verdict values:
#   COSTS_GREEN  implemented and measured; it loses files. Do not re-attempt as-is.
#   TOO_BIG      real and correct, but the work is out of proportion to the files.
#   BLOCKED      needs something unavailable (prebuilt JSC, docker, missing OpenSSL).
#   NOT_A_BUG    the failure is the test doing what it is supposed to do.
#   DECLINED     technically cheap, but wrong to do (gaming a metric, weakening a check).
#   LOW_YIELD    measured and it moves ~nothing; the signature over-promised.
#   OVERTURNED   an earlier verdict that a later, measured change disproved. The
#                original row STAYS (this file is append-only); this row names the
#                commit and the measurement that overturned it.
#
# Columns: area <TAB> target <TAB> verdict <TAB> cost_or_size <TAB> evidence
#
# Append-only. If you overturn an entry, do not delete it -- add a new row whose
# evidence names the commit that overturned it, so the history stays auditable.
#
area	target	verdict	cost_or_size	evidence
node	ERR_WORKER_INVALID_EXEC_ARGV	COSTS_GREEN	7 green worker files pass execArgv	needs node's option table embedded; a too-tight allowlist regresses all 7
node	worker internal/test/binding files	BLOCKED	2 files	needs node's internal test binding surface
node	worker SharedArrayBuffer (shm-backed)	TOO_BIG	5 files, densest worker cluster left	an mbun worker is a child process, not a thread; needs shm SAB with the wire carrying a mapping handle, i.e. JSC external-backing-store work. Deferred, NOT disproven -- correct next capability lane if one is funded
bun	napi/node-napi-tests (napi addons)	BLOCKED	51 of 55 files in napi/node-napi-tests	mbun exports 6 dynamic symbols, so no napi addon can load at all
bun	js/sql (mysql, postgres)	BLOCKED	26 files	needs docker services; "Failed to build service mysql_plain"
bun	js/valkey	BLOCKED	15 files	needs a docker redis service
bun	bake/dev	TOO_BIG	18 files	gated on the whole HMR/incremental-bundler subsystem: Bun.serve() has no app/framework option, bun:internal-for-testing has no getDevServerDeinitCount. The stack-frame blocker behind it was fixed and the files STILL fail
bun	bundler code splitting	TOO_BIG	13 diagnostics, gates 2 all-BF files	needs multi-chunk emit + shared-chunk extraction + cross-chunk imports in a bundler that emits exactly one chunk per entry
bun	bundler HTML loader	TOO_BIG	22 tests, largest single-file prize	bundler_html.test.ts is all-bundler-caused, but 2 of the 22 also need splitting, so it cannot go green without it. Est. 600-1000 lines as a pair
bun	bundler async-module linking	LOW_YIELD	33 diagnostics, flips 0 green files	27 of 33 are entry-module TLA only; every file it touches has large non-TLA failure counts
bun	bundler_barrel.test.ts	NOT_A_BUG	28 diagnostics	those test files contain DELIBERATE syntax errors that barrel/optimizeImports tree-shaking must prevent from ever being parsed
bun	--minify-syntax accepted as a silent no-op	DECLINED	+1 file for ~5 lines	reverses a deliberate fail-loudly decision at src/app.cppm:1683. Buying a corpus file by ignoring a user's flag is gaming. NOTE the real defect it exposed: Bun.build's API already ignores the minify flags while the CLI rejects them -- fixing THAT inconsistency is legitimate
bun	process-nexttick.test.js "100,000 times"	NOT_A_BUG	passed-count only, not green	queues 100k ticks then `await 1` and expects all to have run; under node's ordering the await continuation is a microtask and runs first, so real node yields 0. bun's own bug -- do not replicate
jsc	remove the process.nextTick promise-reaction arm	COSTS_GREEN	256 bun files (historical)	OVERTURNED IN PART by 1b1f56e: the arm must STAY (it is node's second arm, reaching ticks pushed from promise continuations). The cure keeps it and makes the reaction run runMicrotasks() first. Contract now pinned by tools/integration/tick_order_gate.py
bun	js/node AsyncResource default triggerAsyncId	COSTS_GREEN	1 bun file (EventEmitterAsyncResource.test.ts), unbounded node exposure	bun asserts `new AsyncResource("x").triggerAsyncId() === 0` at top level; that value IS executionAsyncId(), which mbun reports as 1 because node's bootstrap owns async id 1 (async_hooks.cppm says so, and timers inherit triggerAsyncId 1 from it). No caller-side discriminator for a bare constructor. Irreducible cross-corpus conflict, sized not implemented
bun	js/node path.format pathObject message	COSTS_GREEN	1 bun file for 1 green node file	parse-format.test.js asserts bun's `The "pathObject" property must be of type object, got object` and the test itself documents that node's wording differs. node/parallel/test-path-parse-format.js is GREEN on node's wording (measured, w58n-np). Same input, no discriminator
bun	js/node util.styleText colorization	DECLINED	0 files either way	bun's styleText ignores stream color detection and always emits SGR; node's honours shouldColorize, and the harness sets NO_COLOR=1. Would cost node's styleText tests and STILL not green util.test.js, which also needs a real `node` binary on PATH (absent here)
bun	js/node string-decoder 2 GiB guards	TOO_BIG	1 file, needs Buffer.kMaxLength 2^31-1 -> 2^53-1	both failures start at Buffer.allocUnsafe(2**31) throwing ERR_OUT_OF_RANGE; raising the process-wide Buffer limit to node 26's value plus 2 StringDecoder guards, for one file whose ASCII scan alone takes 15s
bun	js/node crypto.test.ts cipher event order	TOO_BIG	1 file of 369, needs Readable.read() chunk-at-a-time	needs BOTH node 26's "read() with no size returns one buffered chunk" (shared stream core) and a console.log array line-break change; 368/369 already pass
bun	js/node timers-immediate-exception ordering	TOO_BIG	1 file, 2 unrelated defects	nextTick-vs-immediate ordering across an uncaughtException (the contract tick_order_gate.py pins) plus TextDecoder("utf-16le") having to produce a genuinely 16-bit JSString
node	vm timeout/sigint watchdog	TOO_BIG	6 files, biggest vm prize	JSContextGroupSetExecutionTimeLimit IS in the bundled JSContextRefPrivate.h so it is FEASIBLE, but the limit is per context GROUP and test-vm-timeout needs nested timeouts (inner 10ms firing through an outer 10000ms, reporting 10ms) -- needs a save/restore stack plus termination attribution, and a botched watchdog poisons the host VM for unrelated tests. Recorded in the file header
node	vm V8 assignment error wording	BLOCKED	4 files	wants V8's "Cannot assign to read only property" / "Cannot redefine property"; JSC says "Attempted to assign to readonly property." The throw comes from JSC's own store on a real mirrored descriptor and there is no message-normalisation layer. Producing V8's text needs accessor-based interceptors, which would destroy the descriptor round-tripping test-vm-global-property-prototype checks
node	vm microtaskMode afterEvaluate	BLOCKED	2 files	needs a per-context microtask queue drained only at run boundaries; contexts in one JSC group share the VM queue
node	vm sandbox proto-chain mirroring	BLOCKED	2 files	clean fix is setPrototypeOf(childGlobal, sandboxProto) but JSC's global is an immutable-prototype exotic object (proved empirically); mirroring onto the realm's Object.prototype pollutes every object and risks the 4-5 inherited-property tests passing today
node	vm property-not-on-sandbox	BLOCKED	1 file	needs node's GetterCallback sandbox->global-proxy substitution for an accessor created inside the run on `this`, which never round-trips through the mirror. Unreachable without a Proxy global
node	vm context-async-script	COSTS_GREEN	1 file	a setTimeout callback writes the child global after the run window closes; would need syncOut on every event-loop tick for every live context -- the same perf-hazard shape that made the util.inspect full-override a disaster
bun	heapStats objectTypeCounts real heap census	COSTS_GREEN	max +1 file against a likely -10	10 green js/web files pass BECAUSE it is a stub -- expectMaxObjectTypeCount sees 0 <= 0 (web-crypto, 4x *-cyclic-reference, fetch-stream-cancel-leak, server-response-stream-leak, pipeTo-signal-leak, sync-pull-fast-path, transform-stream-leak, websocket-close-connecting). Plus unknown node exposure
bun	console.timeEnd format and stream	DECLINED	irreducible cross-corpus	bun asserts "[0.034ms] label" on STDERR; node's test-console.js:251 asserts /^label: \d+(\.\d{1,3})?(ms|s)$/ off a hooked process.stdout.write. No legitimate discriminator. Costs 0 green node files TODAY only because test-console.js is already red at line 36 on process.stdout.writable -- so it is a DEFERRED bill: whoever fixes stdout.writable walks into 7 format assertions
bun	structured-clone-blob-file offset field	TOO_BIG	1 file, exposes 2 green	mbun eagerly inlines file bytes with no offset field; the test byte-scans for a u64 LE offset. Needs BunFile.slice() to become a lazy (store,offset) view -- undoing the deliberate "slice(n,n+1) costs one pread byte" optimisation -- plus a serializer format change. Risks structured-clone-fastpath and structured-clone.test.ts (217 pass)
bun	blob: worker URLs	LOW_YIELD	0 files for ~1.5h	the resolution itself is ~15 lines, but worker_blob test 4 needs DEFERRED blob resolution so a revokeObjectURL right after the constructor wins the race (mbun spawns synchronously) and worker-postmessage-transfer test 5 needs worker->parent MessagePort transfer. 4/5 and 4/5 = 0 files
bun	node:http HTTP/1.0 close-delimited framing (regression/34415)	COSTS_GREEN	1 bun file for 1 green node file	implemented and measured in wave 60: `useChunkedEncodingByDefault=false` for httpVersionMinor<1 greens regression/34415 and turns node test-http-1.0-keep-alive.js pass->fail (serial confirm, --jobs 1). bun's writer never chunk-frames 1.0; node honours `TE: chunked`. Same input, no discriminator
node	v8 startup snapshot (test-snapshot)	BLOCKED	24 files	v8.startupSnapshot EXISTS with the full surface (isBuildingSnapshot, addSerializeCallback, addDeserializeCallback, setDeserializeMainFunction) but it is shape-only: --snapshot-blob is not even parsed as a flag ("Script not found --snapshot-blob") and --build-snapshot writes no blob. The tests need --snapshot-blob 56x and --build-snapshot 36x. Third confirmed shape-only stub after node:inspector and (disproved) node:sqlite -- PROBE THE MODULE BEFORE TRUSTING THAT IT EXISTS
node	entry-point not-found message (node shape)	COSTS_GREEN	3 node files vs 1 bun file	test-module-main-fail / -main-preserve-symlinks-fail / -loading-globalpaths all need "Cannot find module" + MODULE_NOT_FOUND in the CHILD stderr; mbun prints bun's `error: Module not found "x"` (app.cppm report_run_target_not_found, ref run_command.rs:2745). bun-run.test.ts "does not crash after spawning with $ variable" asserts the full stderr with toBe and PASSES today (reproduced by hand on w62). The two invocations are indistinguishable -- both are a bare `mbun <file>` -- so there is no split that satisfies both corpora.
node	require.extensions custom loaders	BLOCKED	1 node file (test-module-multi-extensions)	Module._extensions entries are no-op stubs over a NATIVE loader (node_module.cppm:420 says so); the test uses common.mustCall() so the handler must really be invoked, and it needs node's two-part extension search (".foo.bar" beating ".bar"). Needs the extension dispatch moved out of the C++ loader into JS, which is the Module.prototype.load slice of a loader port -- not a fix.
node	MODULE_TIMER / module tracing	BLOCKED	1 node file (test-module-print-timing)	needs --experimental-print-required-tla-style MODULE_TIMER stderr output AND trace-event emission for module load; no tracing subsystem behind it. Fourth shape-only/absent surface after node:inspector, v8.startupSnapshot, node:sqlite.
bun	js/bun Bun.plugin (onResolve/onLoad)	TOO_BIG	2 files (plugins.test.ts, plugin-namespace-drive-letter)	`Bun.plugin` and `require('bun').plugin` are BOTH undefined -- not a gap in a hook, the whole plugin subsystem is absent. plugins.test.ts calls plugin({setup}) at module scope, so the file dies at load
bun	js/bun BunObject hasNonReifiedStatic	DECLINED	1 file	needs REAL JSC lazy-property reification on the Bun object (test asserts true, then false after `{...Bun}` spreads it). mbun builds Bun eagerly; anything else is a stub that reports a laziness it does not have
bun	js/bun ESM namespace null prototype	TOO_BIG	1 file (namespace-prototype-pollution)	`import * as ns` binds module.exports ITSELF (cjs_runtime.cppm build_cjs_import_) so the namespace inherits Object.prototype. Null-protoing it means null-protoing every module.exports -- breaks exports.hasOwnProperty/toString across the corpus. A separate copied namespace would kill live bindings
bun	js/bun Bun.Transpiler double-quote reprint	DECLINED	1 file (transpiler-tsconfig-uaf), 0 net	mbun's transpiler is an ERASURE pass (js_parser.cppm:5759): it emits source bytes, so `const a = 'h'` keeps its quotes where bun re-prints via best_quote_char_for_string. test_js_transpile.cpp:275-281 states this divergence is the deliberate decision and 4 vectors pin it. The file's OTHER half (tsconfig jsx/jsxFactory ignored by Bun.Transpiler) is a REAL low-risk bug, fully diagnosed -- worth 0 files alone
bun	js/bun export-star namespace correctness	DEFERRED	1 file (star-export-namespace), 2 defects	both diagnosed, both MEDIUM risk corpus-wide: (1) __mbun_esm_namespace synthesises `default` for dynamic-import namespaces of ESM-SOURCE modules too, so Object.keys() is always one long -- needs a non-enumerable __mbun_esm stamp in module_loading.inc because __esModule cannot discriminate (TS-compiled CJS sets it); (2) `export * from` lowers to Object.assign, which is last-write-wins where the spec EXCLUDES an ambiguous name and lets an earlier local shadow. Fix needs a per-module origin map + throwing accessor
bun	js/bun resolver auto-install	BLOCKED	2 files (resolve-autoinstall-invalid-name, part of mock-module-non-string)	the second test asserts the registry IS hit (`expect(requests).toBeGreaterThan(0)`) for a valid package name -- mbun has no auto-install path at all, so it can only ever report 0
bun	js/bun mock.module live namespaces	TOO_BIG	mock-module.test.ts, 6 of 10 tests	after the w62 mock.module lane the remaining failures need: a LIVE dynamic-import namespace (bun's `await import(m)` namespace observes a later re-mock; mbun's __mbun_esm_namespace hands back Object.assign({},m), a copy), mock.restore() undoing spyOn on a module namespace object, and full exports REPLACEMENT (deleting keys the mock omits, which breaks the module's own internal references)
bun	js/bun bun:internal-for-testing missing surfaces	LOW_YIELD	3 files	udp/dgram needs exposedInternals['internal/dgram'], patch.test.ts needs patchInternals.{parse,apply}, shell-blocking-pipe needs bun:jsc generateHeapSnapshot('v8'). Each is one export away from RUNNING, but each then exercises a whole unimplemented subsystem -- probe before building on any of them
bun	js/bun css.test.ts + css hang cluster	TOO_BIG	~12 files	cssInternals exposes ONLY minifyTest; util.ts destructures testWithOptions/_test/prefixTest(WithOptions)/attrTest/minifyErrorTestWithOptions, all undefined. Beyond the harness the individual files need real CSS number serialization (exponent form: expects 3.40282e38rad, mbun prints 50 digits) and calc/atan2 math-function evaluation
bun	js/bun sinonjs fake-timers duplicate declaration	NOT_A_BUG	1 file	fake-timers.test.ts:24 `import * as timersModule` and :30 `let timersModule` genuinely collide; mbun raises SyntaxError where bun tolerates it. Being stricter is correct, and the file is 5000 lines of sinon suites behind that line
bun	`bun test` honouring bunfig `preload` (regression/issue/30887)	BLOCKED	5 tests in 1 file; blast radius is all 1902 bun files	wave 62 implemented it (run_test never called runtime::set_preloads, though the machinery and the bunfig parse both exist) and REVERTED before building: compat/bun/bunfig.toml sets `preload = "./test/preload.ts"`, which DELETES every process.env key absent from harness.bunEnv -- including the per-test TMPDIR the bounded runner sets, so the corpus would start writing into /tmp (the exact disk-fill the bounded layer exists to prevent). Land it only together with a measured full-bun run
bun	Bun.Transpiler.scanImports / .scan (regression/issue/13251, 24709)	TOO_BIG	4 tests in 13251, plus 24709 and part of bundler/transpiler/transpiler.test.js	wave 62 probed: the surface EXISTS and is hardcoded to `[]` / `{imports:[],exports:[]}` in builtins/yaml_block_markdown.cppm with a "DEFERRED (no metadata pass yet)" comment that is accurate. TranspileResult carries no import records, so this needs the parser to emit module specifiers + kinds -- a new output channel through mbun.js_parser, not a shim. The trim half already exists (js_parser/trim_imports.cppm)
bun	shell tilde followed by a quoted empty string, `echo ~""` (regression/issue/17294)	TOO_BIG	2 of 9 tests in one file	wave 62: the PARSER is already right ([Tilde, QuotedEmpty] atoms, parser.cppm:1616), and bunsh.inc's literal-only lowering correctly punts on Tilde -- so the expansion that turns a bare `~` into $HOME happens on the Bun.$ FALLBACK path, which is not in modules/shell or runtime/bunsh.inc at all. Locating it cost 20 minutes and was abandoned; find the fallback word-expander first
node	http2 test-http2-socket-proxy util.inspect TimersList shape	TOO_BIG	1 test (test-http2-socket-proxy)	wave 63 got this file from failing at line 37 to failing at line 41: porting node's session socket proxy fixed `session[kTimeout]._idleTimeout === 987` (the proxy now forwards setTimeout to the session, and syncSessionTimeout already published kTimeout). The REMAINING blocker is not http2 at all -- lines 41-53 assert util.inspect of a Timeout prints `_idlePrev: [TimersList]` / `_idleNext: [TimersList]`, and that inspecting `session[kTimeout]._idlePrev` prints `_idlePrev: [Timeout]`. That needs node's internal/timers linked-list (TimersList objects with circular _idlePrev/_idleNext links, and a constructor NAMED TimersList) built in builtins/node_timers.cppm. mbun's Timeout has _idleTimeout but no list links at all. Cross-cutting timers-internals work, not an http2 fix; see also the recorded util.inspect perf trap before touching inspect
node	http2 session.destroy(code) propagation (test-http2-propagate-session-destroy-code)	TOO_BIG	1 test, 13 assertions across 4 handlers	wave 63 audited it in full. FIVE independent divergences, not one: (1) destroy(err) never normalises a NUMBER into destroyCode + ERR_HTTP2_SESSION_ERROR the way core.js:1601-1616 does, so it emits the raw number 7; (2) closeSession must destroy every live stream WITH the session error and send GOAWAY(code) before teardown; (3) _teardown sets `closed = true`, but node's closeSession sets DESTROYED only and the test asserts `session.closed === false`; (4) no _goawayCode/_destroyCode fields exist, so `sessionCode = goawayCode || destroyCode` precedence in Http2Stream#_destroy (core.js:2437-2465) cannot be expressed and rstCode comes out 2/8 instead of 7; (5) the GOAWAY must survive a hard _teardown that destroys the socket. Fixes (3) and (4) sit on the SHARED client+server+compat stream-destroy path whose CANCEL behaviour was tuned against test-http2-client-destroy -- high regression risk for a single file. Only the low-risk piece was landed in wave 63: ERR_HTTP2_SESSION_ERROR now carries the raw numeric code (core.js:760,1611) instead of errName()
node	node:http OutgoingMessage backpressure / writableLength	TOO_BIG	net.Socket write path rewrite, whole net+http+tls surface at risk	measured in wave 63: test-http-outgoing-properties, test-http-outgoing-end-cork and test-http-outgoing-message-capture-rejection all need `socket.write()` to buffer like node stream.Writable. mbun net.Socket write() pushes to _wq then `_flush()`es to the fd SYNCHRONOUSLY (js_net.cppm ~1519), so _wqLen is 0 on return: writableLength reads 0 where node reads 8 after res.write("asd"), and write() returns true where node returns false. OutgoingMessage._writeRaw/writableLength are already verbatim node -- the divergence is one layer down, in the socket. Making the flush deferred is the faithful fix but rewrites the hot write path every net/http/tls test depends on; out of proportion to 3 files for a single lane
bun	crypto.getRandomValues 65536-byte quota (blocks js/web/fetch/fetch.test.ts)	COSTS_GREEN	1 bun file at best, for 1 green node file	fetch.test.ts throws at MODULE scope on `crypto.getRandomValues(new Uint8Array(2 MiB))` (line 55), so the whole 3048-line file is 0-pass. bun has no quota -- its own corpus copy of test-webcrypto-random.js comments the check out with the words "Bun allows more than 65536 bytes". But compat/node/test/parallel/test-webcrypto-random.js:66-79 asserts name/code/instanceof DOMException/instanceof QuotaExceededError/quota/requested on the throw and is GREEN in w59-node. Same binary serves both corpora; no discriminator. Also UNMEASURED whether fetch.test.ts would green once past the throw (network-heavy, 3048 lines) -- so the upside may be 0 files, not 1
bun	ESM live bindings after the exporter settles (`export let x` reassigned later)	TOO_BIG	14 cli/install files (the whole dummy.registry group) plus unknown corpus-wide exposure	wave 63 measured it: mbun lowers ESM->CJS with `__mbun_X` getters on exports and `__mbun_link` push-subscriptions on the importer, but engine_require_js.inc:617 takes the SNAPSHOT fast path (`if (!ns.__mbun_pending) { set(ns[name]); return; }`) once the exporter has finished. `export let root_url` assigned in a later `beforeAll` therefore never reaches the importer. Minimal repro: mod.ts `export let x; export function init(){x=1}` + main.ts `import {x,init}` prints `after: undefined` (bun prints 1). Push cannot fix it -- the exporter writes its module-local, not `exports.x`, so there is no write event to fan out; the real fix is esbuild-style reference rewriting (`x` -> `ns.x`), which needs the scope table this erasure parser deliberately does not have. Blast radius: cli/install/{bun-add,bun-remove,bun-update,bun-pm,bunx,lockfile-only,bun-install-retry,bun-install-cpu-os,bun-install-tarball-integrity,bun-install-security-provider,bun-link,bun-update-security-provider,bun-security-scanner-workspaces,bun-install}.test.ts all die on `"undefined" cannot be parsed as a URL` / `path argument must be of type string` from `root_url` / `package_dir`
bun	hosted-git-info fromUrl scp-style `git@host:path` URLs	TOO_BIG	284 of 681 tests in ONE file (cli/install/hosted-git-info/from-url.test.ts)	wave 63 wired `hostedGitInfo.fromUrl` to mbun.install.hosted_git_info::from_url (commit 0b0b99f), taking the file 0 -> 365 pass. Every remaining failure returns null for the scp-style spelling (`git@git.sr.ht:~foo/bar`, `git+ssh://git@github.com:foo/bar`), i.e. mbun's `correct_url`/MiniUrl pair never produces a parseable URL for the colon-path form. That is a URL-corrector rewrite in hosted_git_info.cppm (rs:439-560 `UrlProtocolPair::correct`), not a binding gap -- and it buys exactly one corpus file
bun	`bun pm` as a subcommand (ls/bin/cache/hash/migrate/pkg/why/trust/view/whoami/scan)	TOO_BIG	~10 cli/install files, but each subcommand is its own feature	wave 63: only `pm version` is wired (main.cpp:371); every other `pm` word falls through to package.json script resolution and reports `error: Script not found "pm"`. The migration group additionally needs pnpm-lock.yaml and yarn.lock PARSERS -- mbun.install.migration implements npm's package-lock.json only (migration.cppm:429 `migrate_npm_lockfile`), so `pm migrate` is not a dispatch fix. Do NOT take this as one item; pick a single subcommand with its own tests
bun	ESM live bindings after the exporter settles (`export let x` reassigned later)	LOW_YIELD	0 files gained; the fix itself was ~130 lines	OVERTURNS the TOO_BIG row above -- fixed in 29a3add. That row's MECHANISM was right and its CONCLUSION was wrong on both counts. It said the fix needs esbuild-style reference rewriting and a scope table: it does not. Notify from the WRITER instead -- the exporter wraps assignments to its own live exports (`x = 1` -> `__mbun_XN("x", x = 1)`) and the helper re-reads through the export slot's own getter instead of the value it was handed, so a wrap that fires in a shadowing scope republishes the UNCHANGED value. Wrong scope costs a redundant push, never a wrong value, which is exactly why no symbol table is needed. Gated by a non-enumerable `exports.__mbun_mut`, so 92 of 63,746 corpus sources (0.14%) lower differently and the rest are byte-identical. It also said 14 cli/install files -- that is the part still worth knowing: the ESM bug was their FIRST blocker, not their only one. With live bindings correct they get materially further (bun-add goes from 0 expects evaluated to 143, bun-install-retry from 0 pass/10 fail to 4/6, public-hoist-pattern from 1 assertion to 14) and then fail on independent `bun install` CLI gaps -- `unsafe dependency name: 'file:../x'`, `unsupported add argument '--only-missing'`, `--analyze`. NET GREEN IS ZERO across 597 gated files (node module/require/esm/vm 155, bun resolve+test+node/module+cli/install 192, third_party+valkey+bundler+integration 250), with zero losses. Do not re-derive the live-binding half; the remaining cli/install vein is an install-CLI argument-parsing lane, not an ESM one
node	repl: SIGINT interrupting a running eval (breakEvalOnSigint)	TOO_BIG	2 files (test-repl-sigint, test-repl-sigint-nested-eval)	wave 64: both files spawn `mbun -i`, send `while(true){}` and expect the REPL to print "Script execution was interrupted by `SIGINT`" and stay alive. That needs real JSC script TERMINATION (VM::notifyNeedTermination / a watchdog thread), which mbun does not have anywhere -- node_internal_binding.cppm:779-802 exposes only a JS-level start/stopSigintWatchdog flag pair that records a pending signal and never interrupts running JS, and there is no vm.runInContext `timeout` implementation to borrow from either. This is C++ runtime work in the JSC layer, not a node_repl.cppm change
node	repl: input preview / reverse-i-search (the 6 skipIfInspectorDisabled repl files)	COSTS_GREEN	0 gain, 180 files exposed	wave 64: 6 of the 8 no-verdict test-repl files (preview, preview-newlines, preview-timeout, custom-eval-previews, strict-mode-previews, top-level-await) skip on common.skipIfInspectorDisabled -> process.features.inspector. Flipping that flag un-skips 180 corpus files corpus-wide with no inspector behind it, and node_repl.cppm DEFERS preview outright ("input preview, reverse-i-search" in its header). Skipped is not green, so there is no green to lose -- but there is also no green to win without a real inspector Session, which is a separate multi-lane build
node	process.hrtime / hrtime.bigint V8 natives-syntax in eval()	BLOCKED	2 process files, 11 parallel files corpus-wide	both test-process-hrtime.js and -hrtime-bigint.js end with eval('%PrepareFunctionForOptimization(...)') / eval('%OptimizeFunctionOnNextCall(...)') under --allow-natives-syntax. JSC's parser has no %-intrinsic syntax, so the eval raises SyntaxError: Unexpected token '%' and the file dies AFTER every real assertion has passed. Adding the missing hrtime validation (measured absent: process.hrtime(1) returns [n,n] instead of ERR_INVALID_ARG_TYPE, hrtime([1,2,3]) instead of ERR_OUT_OF_RANGE) is correct but buys ZERO files on its own. The only cures are a JSC parser flag (vendored prebuilt, not ours) or replacing globalThis.eval with a %-stripping wrapper -- which downgrades every direct eval in the corpus to an indirect one. Do the validation as a correctness fix if you like; do not count these two files
node	delete process.exitCode throwing V8's message	BLOCKED	1 file (test-process-exit-code-validation.js)	the file's LAST failing assertion is assert.throws(() => { delete process.exitCode }, /Cannot delete property 'exitCode' of #<process>/) -- every exitCode validation before it already passes. Making the accessor non-configurable is one line, but MEASURED: JSC's strict-mode delete of a non-configurable property throws TypeError 'Unable to delete property.' (probed on the frozen w64proc binary), and that text comes from the vendored JSC, not from mbun. The only mbun-side cure is turning `process` into a custom JSClass with a deleteProperty callback -- process is currently a plain JSObject built by the bindings_install.inc prelude, so that is an engine-boundary rewrite of the whole process object for one assertion
